,trackName,artistName,albumName,populartySong,genres,populartyArtist
198,Israel Kamakawiwo'ole,Unforgettable,Over the Rainbow / What a Wonderful World,72,['hawaiian'],60
199,Urban Cone,Our Youth,Urban Photograph,47,['swedish indie pop'],43
200,Wahlberg,En positivare värld,En sista dans,45,['swedish reggae'],37
201,Miriam Bryant,Dragon,Dragon,61,"['swedish idol pop', 'swedish pop', 'swedish pop rap']",59
202,Matisyahu,Light,We Will Walk,49,['reggae fusion'],56
203,Jack Moy,Hummingbird Says Drink,Hummingbird,30,[],28
204,Foo Fighters,The Colour And The Shape,Everlong,81,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",75
205,Fronda,Tolkningar (Akustisk),Ända tills hjärtat slutar slå - Akustisk,54,"['danspunk', 'swedish hip hop']",44
206,Jon Bellion,The Definition,Luxury,71,['pop rap'],67
207,Roxette,Look Sharp!,Paint,69,"['europop', 'new wave pop', 'soft rock', 'swedish pop']",69
208,Newton Faulkner,Hand Built By Robots,Dream Catch Me,62,"['folk-pop', 'neo mellow']",49
209,Flipsyde,We The People,Someday,54,['oakland hip hop'],46
210,Avicii,The Days / Nights,The Nights,86,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",79
211,Witt Lowry,I Could Not Plan This,Phone (feat. Gjan),78,['pop rap'],62
212,Electric Light Orchestra,The Essential Electric Light Orchestra,Evil Woman,81,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']",70
213,DC Grimsta,Mitt eviga krig,Om jag stannar,37,['swedish hip hop'],31
214,The Killers,Wonderful Wonderful,Some Kind Of Love,85,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",76
215,Bastille,All This Bad Blood,Of The Night,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
216,Phil Collins,Testify,You Touch My Heart,77,"['mellow gold', 'rock drums', 'soft rock']",74
217,Kodaline,Politics of Living,Head Held High,79,"['irish pop', 'modern rock', 'pop', 'pop rock']",70
218,Thåström,Kärlek är för dom,Men bara om min älskade väntar,46,"['classic swedish pop', 'swedish americana', 'swedish punk']",45
219,Johnossi,Blood Jungle,War / Rain,52,"['swedish alternative rock', 'swedish indie rock']",43
220,Hollow Coves,The Woods,The Woods,73,['indie folk'],61
221,Bräkne Hoby,Bräkne-Hoby,Allting på en gång,7,[],4
222,Ulrik Munther,Daughter,Daughter,55,"['swedish idol pop', 'swedish pop']",44
223,Vanessa Carlton,Willows,Willows,77,"['lilith', 'neo mellow', 'piano rock', 'pop rock', 'post-teen pop']",61
224,Other People's Heartache,Other People’s Heartache,Flowers,46,['uk pop'],33
225,Klara Keller,Drömmen har sagt sitt - Single,Drömmen har sagt sitt,35,['swedish indie pop'],22
226,Eldkvarn,De berömdas aveny,På andra sidan regnet,49,"['classic swedish pop', 'svensk progg', 'swedish alternative rock', 'swedish pop']",43
227,Thomas Stenström,Rör inte min kompis!,Kanske just idag,69,['swedish pop'],61
228,La Bionda,The Collection,"One for You, One for Me",42,['italian disco'],33
229,OMFG,Hello,Hello,66,"['emo rap', 'lgbtq+ hip hop']",80
230,Wyclef Jean,CARNIVAL VOL. II...Memoirs of an Immigrant,"Touch Your Button Carnival Jam (feat. will.i.am & Melissa Jimenez, feat. Machel Montano, Daniela Mercury, Black Alex & Djakout Mizik)",85,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",84
231,MGMT,Oracular Spectacular,Time to Pretend,82,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",73
232,Maggie Lindemann,Pretty Girl,Pretty Girl - Cheat Codes X CADE Remix,72,"['alt z', 'dark pop', 'pop', 'post-teen pop']",64
233,The Soundtrack Of Our Lives,Welcome To The Infant Freebase,Instant Repeater '99,43,"['gothenburg indie', 'swedish alternative rock', 'swedish hard rock', 'swedish psychedelic rock']",35
234,Did,What I did,Ohh,52,"['classic swedish pop', 'dansband', 'danspunk']",45
235,Hov1,Vindar på Mars,Smokebreak,65,"['fotbollslatar', 'swedish idol pop', 'swedish pop', 'swedish pop rap']",64
236,Macklemore & Ryan Lewis,The Heist,Starting Over (feat. Ben Bridwell),83,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",71
237,Kristian Anttila,Svenska tjejer,Josefine,35,['swedish indie pop'],25
238,Miriam Bryant,Last Soul on Earth,Push Play - Acoustic Version,61,"['swedish idol pop', 'swedish pop', 'swedish pop rap']",59
239,Håkan Hellström,Det kommer aldrig va över för mig,Du kan gå din egen väg,63,"['classic swedish pop', 'gothenburg indie', 'swedish indie rock', 'swedish pop']",60
240,Norah Jones,Spotify Singles,Flipside - Recorded At Spotify Studios NYC,72,"['contemporary vocal jazz', 'jazz pop', 'neo mellow']",69
241,Bastille,Wild World,Send Them Off!,76,"['metropopolis', 'modern rock', 'pop', 'pop rock']",74
242,Eagle-Eye Cherry,Desireless,Save Tonight,54,['pop rock'],58
243,Film Musical Orchestra,Flashdance,Maniac,41,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'soundtrack', 'vintage italian soundtrack']",63
244,Nano,Hold On,Hold On - D&B Version,39,[],35
245,Imagine Dragons,Night Visions,Every Night,88,"['modern rock', 'rock']",86
