name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Fogdegatan 4,58,2,3133,1310000,222586,2019-2-25,Västerås kommun,City,Bostadsrättslägenhet
Gudruns väg 17,122,4,,3220000,,2019-2-25,Västerås kommun,Västerås,Par/Rad/Kedjehus
Fiskarvägen 18C,94,5,,1750000,,2019-2-25,Västerås kommun,Skultuna,Par/Rad/Kedjehus
Statorvägen 5,63,2,4051,1200000,219048,2019-2-25,Västerås kommun,Aseastan,Bostadsrättslägenhet
Benvägen 27,40,1,3540,495000,212375,2019-2-25,Västerås kommun,Bjurhovda,Bostadsrättslägenhet
Oxelvägen 4D,131,5,,3500000,,2019-2-24,Västerås kommun,Hökåsen,Par/Rad/Kedjehus
Klyvargatan 8,60,2,3680,2020000,233667,2019-2-23,Västerås kommun,Öster Mälarstrand,Bostadsrättslägenhet
Färnebogatan 12 C,60,2,2728,1220000,220333,2019-2-23,Västerås kommun,Skiljebo,Bostadsrättslägenhet
Skjutbanegatan 3B,80,1,4990,995000,212422,2019-2-23,Västerås kommun,Haga,Bostadsrättslägenhet
Bondebacken 20,120,4,6189,3060000,225500,2019-2-23,Västerås kommun,Centrum/Oxbacken,Bostadsrättslägenhet
"SKYTTEGATAN 6B, vån 1",40,5,2662,720000,217778,2019-2-22,Västerås kommun,Haga,Bostadsrättslägenhet
Åkesta Gård 3,160,5,,5125000,,2019-2-22,Västerås kommun,Åkesta,Villa
Rörverksgatan  40,160,7,,3250000,,2019-2-22,Västerås kommun,Bäckby,Friliggande villa
Origovägen 17,156,6,,5135000,,2019-2-22,Västerås kommun,Skälby,Villa
Diskusgatan 8,135,5,,2870000,,2019-2-22,Västerås kommun,Rönnby,Par/Rad/Kedjehus
Vetterslundsgatan 82,97,5,6256,1100000,211282,2019-2-22,Västerås kommun,Vetterslund,Bostadsrättslägenhet
Porfyrvägen 30,76,3,,795000,,2019-2-22,Västerås kommun,Munga,Fritidshus
Kaserngatan  225,104,4,,3350000,,2019-2-22,Västerås kommun,Viksäng,Par/Rad/Kedjehus
Langenbergsgatan 6B,57,2,3623,1700000,229825,2019-2-22,Västerås kommun,Blåsbo,Bostadsrättslägenhet
Rekylgatan 6,55,2,3678,1000000,218182,2019-2-22,Västerås kommun,Haga,Bostadsrättslägenhet
Rotorvägen 4,77,5,4872,1700000,221935,2019-2-21,Västerås kommun,Asea-stan,Bostadsrättslägenhet
Öster Mälarstrands Allé 151,105,4,5142,3200000,230476,2019-2-21,Västerås kommun,Öster Mälarstrand,Bostadsrättslägenhet
Vintervägen 97,97,4,4528,1750000,218041,2019-2-21,Västerås kommun,Hökåsen,Bostadsrättslägenhet
Fyrtornsgatan 2,68,2,3637,2700000,239706,2019-2-21,Västerås kommun,Lillåudden,Bostadsrättslägenhet
Labradorvägen 93,130,5,6830,1650000,212692,2019-2-21,Västerås kommun,Södra Gryta,Bostadsrättslägenhet
Benvägen 51,88,5,6219,650000,27345,2019-2-21,Västerås kommun,Bjurhovda,Bostadsrättslägenhet
Skälbygatan 157,152,6,,3575000,,2019-2-20,Västerås kommun,Skälby,Friliggande villa
Knutsgatan 12 B,103,5,5259,2375000,223058,2019-2-20,Västerås kommun,Centralt/Herrgärdet,Bostadsrättslägenhet
Härnevigatan  42,105,4,,2300000,,2019-2-20,Västerås kommun,Skiljebo,Par/Rad/Kedjehus
Knotavägen 48,86,7,5767,875000,210092,2019-2-20,Västerås kommun,Bjurhovda,Bostadsrättslägenhet
Rebro gård 2,130,4,,2925000,,2019-2-20,Västerås kommun,Västerås,Friliggande villa
Viksängsgata 80B,63,4,3880,1300000,220505,2019-2-19,Västerås kommun,Viksäng,Bostadsrättslägenhet
Karbenningsgatan 6,95,4,4450,1275000,213421,2019-2-19,Västerås kommun,Norra Malmaberg,Bostadsrättslägenhet
Kumlagatan 9,31,1,2168,530000,217097,2019-2-19,Västerås kommun,Odensvi,Bostadsrättslägenhet
Östermalmsgatan 15,30,1,2779,890000,229667,2019-2-19,Västerås kommun,Centralt,Bostadsrättslägenhet
Färnebogatan 6B,59,5,2856,1125000,218908,2019-2-18,Västerås kommun,Färnebogatan 6B,Bostadsrättslägenhet
Jakobsgatan 46B,77,5,4946,935000,212065,2019-2-18,Västerås kommun,Jakobsberg,Bostadsrättslägenhet
Jakobsgatan 46B,77,5,4946,935000,212065,2019-2-18,Västerås kommun,JAKOBSBERG,Bostadsrättslägenhet
Klockargatan 5C,79,8,4982,1650000,220677,2019-2-17,Västerås kommun,Klockartorpet,Bostadsrättslägenhet
Källhagsgatan 1 B,42,2,2954,990000,223571,2019-2-15,Västerås kommun,Haga,Bostadsrättslägenhet
Vargbogatan 7b,108,4,5711,2550000,,2019-2-15,Västerås kommun,Hemdal,Bostadsrätt
Norrbygatan 3A,80,5,4839,1430000,217764,2019-2-15,Västerås kommun,Odensvi,Bostadsrättslägenhet
Hökåsvägen 98,100,4,,3170000,,2019-2-15,Västerås kommun,Hökåsen,Villa
Krutkällarvägen 4,78,2,3998,2725000,234936,2019-2-14,Västerås kommun,Karlsdal,Bostadsrättslägenhet
Skjutbanegatan 9A,78,3,3771,1100000,214049,2019-2-14,Västerås kommun,Haga,Bostadsrättslägenhet
Hermelinvägen 7,132,5,,3200000,,2019-2-14,Västerås kommun,Södra Gryta,Friliggande villa
Vårbackegatan 37,150,6,,4590000,,2019-2-14,Västerås kommun,Barkarö,Friliggande villa
Bangatan 23A,57,2,2867,1525000,226754,2019-2-14,Västerås kommun,Nordanby,Bostadsrättslägenhet
Vinggatan 3a,55,2,2851,1250000,222727,2019-2-14,Västerås kommun,Berghamra,Bostadsrättslägenhet
Timmermansgatan 6,29,1,2429,1000000,234364,2019-2-14,Västerås kommun,Centrum,Bostadsrättslägenhet
Termometergatan  3,127,4,,2750000,,2019-2-14,Västerås kommun,Talltorp,Friliggande villa
Stallhagsgatan 10,205,7,,8995000,,2019-2-14,Västerås kommun,Stallhagen,Villa
Stora Gatan 71B,110,3,5958,3150000,228636,2019-2-13,Västerås kommun,Vasastaden,Bostadsrättslägenhet
Spikverksgatan 81,126,5,,2350000,,2019-2-13,Västerås kommun,Norra Bäckby,Villa
Stohagsvägen 27B,41,1,3202,650000,215854,2019-2-13,Västerås kommun,Stohagen,Bostadsrättslägenhet
Benvägen 27,74,3,5402,640000,28649,2019-2-13,Västerås kommun,Bjurhovda,Bostadsrättslägenhet
Hubbogatan 13,86,4,,2525000,,2019-2-13,Västerås kommun,Skiljebo,Par/Rad/Kedjehus
Sigtunagatan 11,108,4,5711,2800000,,2019-2-13,Västerås kommun,Hemdal,Bostadsrätt
Markörgatan 6A,58,5,3500,1200000,220513,2019-2-13,Västerås kommun,Haga,Bostadsrättslägenhet
Verksgatan 14 B,34,5,2282,1245000,236087,2019-2-12,Västerås kommun,Lillåudden,Bostadsrättslägenhet
Trastvägen  28,112,4,,2230000,,2019-2-12,Västerås kommun,Trastvägen  28,Friliggande villa
Sigfrid Edströms gata 156,136,7,,2350000,,2019-2-12,Västerås kommun,Hammarby,Par/Rad/Kedjehus
Lövhagsgatan 57,53,1,3598,600000,211321,2019-2-12,Västerås kommun,Råby,Bostadsrättslägenhet
Bystämmogatan 9,193,7,,3820000,,2019-2-11,Västerås kommun,Barkarö,Villa
Vetterslundsgatan 2,47,1,3214,815000,217340,2019-2-11,Västerås kommun,Vetterslund,Bostadsrättslägenhet
Flottörgatan 32,119,5,,4050000,,2019-2-11,Västerås kommun,Berghamra,Villa
Skälbygatan 218,95,8,7021,860000,28977,2019-2-11,Västerås kommun,Skälby,Bostadsrättslägenhet
Ullvigatan 45 D,86,3,5326,1595000,218547,2019-2-11,Västerås kommun,Irsta,Bostadsrättslägenhet
Benvägen 5,86,5,6629,510000,25896,2019-2-11,Västerås kommun,Bjurhovda,Bostadsrättslägenhet
Bofinksvägen 23,63,3,4259,730000,211587,2019-2-11,Västerås kommun,Råby,Bostadsrättslägenhet
Stora Gatan 51,84,3,4272,2000000,223810,2019-2-11,Västerås kommun,City,Bostadsrättslägenhet
Mimergatan 4,81,5,4789,2645000,232454,2019-2-11,Västerås kommun,Östermalm,Bostadsrättslägenhet
Härnevigatan  10,97,4,,1895000,,2019-2-11,Västerås kommun,Skiljebo,Par/Rad/Kedjehus
Påskliljevägen  41,93,4,,2875000,,2019-2-10,Västerås kommun,Önsta Gryta,Par/Rad/Kedjehus
Fogdegatan 4,34,6,1869,925000,226734,2019-2-8,Västerås kommun,Centralt/Kristansborg,Bostadsrättslägenhet
Bondebacken 20,122,4,6366,3100000,225410,2019-2-8,Västerås kommun,Centrum / Djäkneberget / Oxbacken,Bostadsrättslägenhet
Nordanbygatan 63,100,4,,4075000,,2019-2-8,Västerås kommun,Vega/Nordanby,Villa
Klockargatan 4C,22,8,1658,710000,231140,2019-2-8,Västerås kommun,Klockartorpet,Bostadsrättslägenhet
Tegnérgatan 3,90,3,4619,2570000,228556,2019-2-8,Västerås kommun,Korsängen,Bostadsrättslägenhet
Lövhagsgatan 69,84,3,5647,670000,27976,2019-2-8,Västerås kommun,Råby,Bostadsrättslägenhet
Sevallagatan 7A,60,2,2867,1460000,224333,2019-2-8,Västerås kommun,Skiljebo,Bostadsrättslägenhet
Panggatan 17,106,7,,4000000,,2019-2-8,Västerås kommun,Norra Haga,Villa
Adolf Zethelius gata 5,38,1,1821,530000,213947,2019-2-7,Västerås kommun,Bäckby,Bostadsrättslägenhet
Patentgatan 13,90,4,4781,2795000,231056,2019-2-7,Västerås kommun,Gideonsberg,Bostadsrättslägenhet
Kungsängsgatan 17a,44,1,3135,1575000,235795,2019-2-7,Västerås kommun,Östra hamnen,Bostadsrättslägenhet
Ankargatan 8,57,2,3869,2220000,238947,2019-2-7,Västerås kommun,Öster Mälarstrand,Bostadsrättslägenhet
Eknäsvägen  11,250,6,,4645000,,2019-2-7,Västerås kommun,Kvicksund,Friliggande villa
Syrenvägen 82,70,2,3660,1600000,222857,2019-2-7,Västerås kommun,Önsta-Gryta,Bostadsrättslägenhet
Jakobsbergsplatsen 5A,79,3,3588,2330000,229494,2019-2-7,Västerås kommun,Jakobsberg,Bostadsrättslägenhet
Syrenvägen 144,70,2,3660,1225000,217500,2019-2-7,Västerås kommun,Önsta Gryta,Bostadsrättslägenhet
Bessemergatan 93,114,5,,2200000,,2019-2-6,Västerås kommun,Västra Bäckby,Villa
Bangatan 41B,79,3,3866,1650000,220886,2019-2-6,Västerås kommun,Nordanby,Bostadsrättslägenhet
Bandverksgatan 197,132,6,,2275000,,2019-2-6,Västerås kommun,Bäckby,Par/Rad/Kedjehus
Öster Mälarstrands allé 119,81,3,4644,2470000,230494,2019-2-6,Västerås kommun,Öster Mälarstrand,Bostadsrättslägenhet
Bärby byväg  33,95,3,,4100000,,2019-2-6,Västerås kommun,Hustahöjden,Friliggande villa
Skultunavägen 18B,49,4,2907,1650000,233401,2019-2-6,Västerås kommun,Blåsbo,Bostadsrättslägenhet
Stentorpsgatan 15B,58,5,3675,995000,217009,2019-2-6,Västerås kommun,Malmaberg,Bostadsrättslägenhet
Skjutbanegatan 15A,34,1,2345,620000,218182,2019-2-6,Västerås kommun,Haga,Bostadsrättslägenhet
Pila-Brittas gata 9,78,3,4105,3450000,244231,2019-2-6,Västerås kommun,Stallhagen,Bostadsrättslägenhet
Blomstergatan 6,25,1,1813,760000,230400,2019-2-6,Västerås kommun,Gideonsberg,Bostadsrättslägenhet
Bandygatan 3,150,6,,3725000,,2019-2-5,Västerås kommun,Rönnby,Villa
Ringduvegatan 23,87,3,4548,820000,29425,2019-2-5,Västerås kommun,Vetterslund,Bostadsrättslägenhet
Jakobsbergsgatan 16 A,60,2,3128,1400000,223333,2019-2-5,Västerås kommun,Oxbacken/Jakobsberg,Bostadsrättslägenhet
Bergbo 3,127,5,,4200000,,2019-2-5,Västerås kommun,Bergbo 3,Gård
Flisavägen 44,52,2,3482,580000,211154,2019-2-5,Västerås kommun,Bjurhovda,Bostadsrättslägenhet
Syrenvägen 21,105,4,5321,1575000,215000,2019-2-5,Västerås kommun,Gryta,Bostadsrättslägenhet
Rönnbyvägen 1,84,6,6369,1875000,222163,2019-2-4,Västerås kommun,Rönnby,Bostadsrättslägenhet
Vintervägen 35,80,3,4202,1570000,,2019-2-4,Västerås kommun,Hökåsen,Bostadsrätt
Tjärdalsgatan  9,124,4,,3650000,,2019-2-4,Västerås kommun,Norra Vallby,Friliggande villa
Nygårdsgatan 16,54,2,3107,1825000,233796,2019-2-4,Västerås kommun,Centrum,Bostadsrättslägenhet
Östermalmsgatan 7,79,3,4132,2750000,234810,2019-2-4,Västerås kommun,Östermalm,Bostadsrättslägenhet
Åkarhagsgatan 2C,39,1,2457,935000,223974,2019-2-4,Västerås kommun,Haga,Bostadsrättslägenhet
Ploggatan 22,146,6,,2900000,,2019-2-4,Västerås kommun,Hammarby,Villa
Patentgatan 13,90,4,4781,2650000,229444,2019-2-2,Västerås kommun,Gideonsberg,Bostadsrättslägenhet
Åkarhagsgatan 2B,57,2,3336,1350000,223684,2019-2-2,Västerås kommun,Haga,Bostadsrättslägenhet
Hammarbygatan 5A,81,3,3908,1930000,223827,2019-2-2,Västerås kommun,Oxbacken,Bostadsrättslägenhet
Utanbygatan 6F,47,3,3387,1800000,238087,2019-2-2,Västerås kommun,Centrum,Bostadsrättslägenhet
Skafferivägen 24,106,4,,2600000,,2019-2-1,Västerås kommun,Skälby,Par/Rad/Kedjehus
Labradorvägen 3,83,5,4862,1830000,221916,2019-2-1,Västerås kommun,Gryta,Bostadsrättslägenhet
Gråsparvsvägen 4,64,5,4354,730000,211318,2019-2-1,Västerås kommun,Råby,Bostadsrättslägenhet
Rekylgatan 14,55,2,3513,960000,217455,2019-2-1,Västerås kommun,Haga,Bostadsrättslägenhet
Gråsparvsvägen 28,64,5,4354,650000,210078,2019-2-1,Västerås kommun,Råby,Bostadsrättslägenhet
Vasagatan 49,60,2,2795,1695000,228250,2019-2-1,Västerås kommun,Blåsbo,Bostadsrättslägenhet
Grävlingevägen  42,133,5,,3750000,,2019-2-1,Västerås kommun,Gryta,Friliggande villa
Råsegelgatan 14,72,3,3617,2500000,234722,2019-2-1,Västerås kommun,Öster Mälarstrand,Bostadsrättslägenhet
Sandgärdsgatan 13,103,4,4200,2250000,221845,2019-1-31,Västerås kommun,Sandgärdet,Bostadsrättslägenhet
Jakobsbergsgatan 43B,64,2,3159,1835000,228672,2019-1-31,Västerås kommun,Jakobsberg/Lustigkulla,Bostadsrättslägenhet
Flisavägen 44,39,9,2497,610000,215288,2019-1-31,Västerås kommun,Bjurhovda,Bostadsrättslägenhet
Aspvägen  6,163,6,,3900000,,2019-1-31,Västerås kommun,Hökåsen,Friliggande villa
Barkarö Bygata 281,145,5,,3050000,,2019-1-31,Västerås kommun,Barkarö,Villa
Bomansgatan 30 B,50,5,3175,1250000,224752,2019-1-31,Västerås kommun,Kristiansborg,Bostadsrättslägenhet
Sköldmyrvägen 23,140,5,,3425000,,2019-1-31,Västerås kommun,Hökåsen,Villa
Pastellvägen  25,116,4,,3270000,,2019-1-31,Västerås kommun,Erikslund,Friliggande villa
Haga Parkgata 17A,55,2,3556,1300000,223636,2019-1-31,Västerås kommun,Haga,Bostadsrättslägenhet
Välljärnsgatan 490,66,5,3900,650000,29774,2019-1-31,Västerås kommun,Bäckby,Bostadsrättslägenhet
Adolf zethelius gata 11,76,3,4210,1115000,214671,2019-1-31,Västerås kommun,Bäckby,Bostadsrättslägenhet
Skjutbanegatan 8A,78,8,3844,1210000,215355,2019-1-31,Västerås kommun,Haga,Bostadsrättslägenhet
Vetterslundsgatan 28,77,5,4962,1175000,215161,2019-1-30,Västerås kommun,Vetterslund,Bostadsrättslägenhet
Kristinagatan 10,156,4,5763,3950000,225321,2019-1-30,Västerås kommun,Centrum,Bostadsrättslägenhet
Norra floragatan 27A,57,2,3694,1770000,231053,2019-1-30,Västerås kommun,Oxbacken,Bostadsrättslägenhet
